| Stock                           | Ticker   |       P/E |    P/E PC |       P/S |   P/S PC |   EV/EBITDA |   EV/EBITDA PC |   EV/R |   EV/R PC |   Score |
|:--------------------------------|:---------|----------:|----------:|----------:|---------:|------------:|---------------:|-------:|----------:|--------:|
| Costco Wholesale Corporation    | COST     |  42.1689  |  73.4043  |  0.977768 | 84.0426  |      20.052 |       63.8298  |  0.932 |  93.617   | 78.7234 |
| Wm Morrison Supermarkets PLC    | MRW.L    |  66.225   |  90.4255  |  0.362737 | 96.8085  |      11.203 |       21.2766  |  0.499 |  98.4043  | 76.7287 |
| adidas AG                       | ADS.F    |  64.4007  |  88.2979  |  2.97905  | 48.9362  |      31.882 |       81.9149  |  3.048 |  60.6383  | 69.9468 |
| JD Sports Fashion plc           | JD.L     |  41.6087  |  71.2766  |  1.60081  | 70.2128  |      16.822 |       56.383   |  1.709 |  76.5957  | 68.617  |
| United Parcel Service Inc.      | UPS      |  36.1229  |  64.8936  |  2.09477  | 62.766   |      21.231 |       70.2128  |  2.194 |  71.2766  | 67.2872 |
| Johnson Matthey PLC             | JMAT.L   |  29.718   |  47.8723  |  0.390449 | 95.7447  |      10.171 |       17.0213  |  0.431 | 100       | 65.1596 |
| Ford Motor Company              | F        |  14.5674  |  11.7021  |  0.447873 | 93.617   |      21.708 |       71.2766  |  1.422 |  82.9787  | 64.8936 |
| Amazon.com Inc.                 | AMZN     |  70.761   |  92.5532  |  4.47535  | 38.2979  |      32.918 |       84.0426  |  4.49  |  43.617   | 64.6277 |
| Ferguson PLC                    | FERG.L   |  34.1471  |  57.4468  |  1.04231  | 80.8511  |      11.846 |       29.7872  |  1.018 |  90.4255  | 64.6277 |
| Vodafone Group PLC              | VOD      | 333.4     |  97.8723  |  1.06052  | 79.7872  |       9.491 |       11.7021  |  2.613 |  63.8298  | 63.2979 |
| Walmart Inc.                    | WMT.F    |  30.1371  |  51.0638  |  0.588718 | 89.3617  |       9.51  |       13.2979  |  0.67  |  95.7447  | 62.367  |
| NIKE Inc.                       | NKE.F    |  75.4353  |  93.617   |  5.54695  | 28.7234  |      34.012 |       85.1064  |  4.583 |  41.4894  | 62.234  |
| Starbucks Corporation           | SBUX     | 138.363   |  96.8085  |  5.80534  | 27.6596  |      44.572 |       91.4894  |  6.346 |  28.7234  | 61.1702 |
| CRH PLC                         | CRH      |  35.5712  |  63.8298  |  1.44663  | 72.3404  |      11.883 |       30.8511  |  1.689 |  77.6596  | 61.1702 |
| NEXT PLC                        | NXT.L    |  35.3312  |  61.7021  |  2.94907  | 51.0638  |      26.478 |       78.7234  |  3.503 |  51.0638  | 60.6383 |
| Rentokil Initial PLC            | RTO.F    |  49.9145  |  76.5957  |  4.06042  | 41.4894  |      21.159 |       69.1489  |  3.939 |  47.8723  | 58.7766 |
| DS Smith PLC                    | SMDS.L   |  30.2979  |  52.1277  |  0.981738 | 82.9787  |       9.51  |       13.2979  |  1.278 |  85.1064  | 58.3777 |
| Ashtead Group PLC               | AHT.F    |  37.9947  |  69.1489  |  1.90604  | 63.8298  |      12.044 |       31.9149  |  2.5   |  67.0213  | 57.9787 |
| Caterpillar Inc.                | CAT      |  34.7649  |  60.6383  |  2.76976  | 56.383   |      18.818 |       60.6383  |  3.417 |  54.2553  | 57.9787 |
| Bunzl PLC                       | BNZL.L   |  19.9221  |  21.2766  |  0.852491 | 85.1064  |      12.06  |       32.9787  |  0.96  |  92.5532  | 57.9787 |
| Bayerische Motoren Werke AG     | BMW.F    |  15.3246  |  13.8298  |  0.558448 | 90.4255  |      14.33  |       44.6809  |  1.464 |  80.8511  | 57.4468 |
| Accenture PLC                   | ACN      |  36.9965  |  67.0213  |  4.35047  | 39.3617  |      23.745 |       75.5319  |  3.945 |  46.8085  | 57.1809 |
| Exelon Corporation              | EXC      |  40.4595  |  70.2128  |  1.28386  | 75.5319  |       9.937 |       15.9574  |  2.504 |  65.9574  | 56.9149 |
| Smiths Group PLC                | SMIN.L   |  25.9776  |  40.4255  |  2.61398  | 57.4468  |      21.118 |       68.0851  |  3.041 |  61.7021  | 56.9149 |
| Koninklijke Ahold Delhaize N.V. | AD.AS    |  20.6016  |  27.6596  |  0.347832 | 97.8723  |       7.592 |        4.25532 |  0.509 |  96.8085  | 56.6489 |
| FedEx Corporation               | FDX.F    |  26.2323  |  41.4894  |  0.792023 | 86.1702  |       8.257 |        6.38298 |  1.156 |  89.3617  | 55.8511 |
| Pearson PLC                     | PSON.L   |  20.0341  |  22.3404  |  1.82859  | 65.9574  |      18.793 |       59.5745  |  2.019 |  73.4043  | 55.3191 |
| AVEVA Group plc                 | AVV.L    | 347.257   |  98.9362  | 14.4051   | 10.6383  |      74.339 |       97.8723  | 14.09  |  11.7021  | 54.7872 |
| Daimler AG                      | DAI.F    |   9.9959  |   5.31915 |  0.495801 | 92.5532  |      12.299 |       35.1064  |  1.283 |  84.0426  | 54.2553 |
| Dow Inc.                        | DOW      |  23.8308  |  38.2979  |  1.15905  | 78.7234  |      10.944 |       20.2128  |  1.535 |  79.7872  | 54.2553 |
| Target Corporation              | TGT      |  20.2956  |  25.5319  |  1.25305  | 76.5957  |      11.538 |       27.6596  |  1.272 |  86.1702  | 53.9894 |
| Volkswagen AG                   | VOW3.F   |  12.8     |   9.57447 |  0.533135 | 91.4894  |      11.519 |       26.5957  |  1.194 |  88.2979  | 53.9894 |
| Intertek Group PLC              | ITRK.L   |  36.7585  |  65.9574  |  3.29767  | 46.8085  |      16.506 |       53.1915  |  3.516 |  50       | 53.9894 |
| Tesla Inc.                      | TSLA     | 658.267   | 100       | 17.6088   |  7.44681 |     138.28  |       98.9362  | 17.51  |   8.51064 | 53.7234 |
| Netflix Inc.                    | NFLX     |  64.8651  |  89.3617  |  9.00494  | 15.9574  |      42.652 |       89.3617  |  9.228 |  19.1489  | 53.4574 |
| Booking Holdings Inc.           | BKNG     | 128.354   |  95.7447  | 15.9516   |  8.51064 |     172.747 |      100       | 16.85  |   9.57447 | 53.4574 |
| Deutsche Post AG                | DPW.F    |  19.126   |  18.0851  |  1.02736  | 81.9149  |      11.488 |       25.5319  |  1.203 |  87.234   | 53.1915 |
| Spirax-Sarco Engineering PLC    | SPX.L    |  59.6678  |  87.234   |  8.65981  | 18.0851  |      34.705 |       86.1702  |  8.5   |  20.2128  | 52.9255 |
| Siemens AG                      | SIE.F    |  18.1338  |  17.0213  |  1.81355  | 67.0213  |      17.192 |       57.4468  |  2.285 |  70.2128  | 52.9255 |
| Tesco PLC                       | TSCO.L   |   2.94913 |   3.19149 |  0.317485 | 98.9362  |       9.334 |       10.6383  |  0.499 |  98.4043  | 52.7926 |
| salesforce.com Inc.             | CRM      |  55.9498  |  82.9787  | 10.112    | 14.8936  |      61.911 |       94.6809  |  9.629 |  18.0851  | 52.6596 |
| PayPal Holdings Inc.            | PYPL     |  68.4161  |  91.4894  | 15.4211   |  9.57447 |      67.031 |       95.7447  | 14.582 |  10.6383  | 51.8617 |
| The Home Depot Inc.             | HD       |  23.4794  |  35.1064  |  2.42282  | 59.5745  |      14.774 |       46.8085  |  2.609 |  64.8936  | 51.5957 |
| General Dynamics Corporation    | GD       |  17.2927  |  15.9574  |  1.41199  | 74.4681  |      12.962 |       40.4255  |  1.719 |  75.5319  | 51.5957 |
| Halma PLC                       | HLMA.L   |  51.7724  |  78.7234  |  7.99207  | 22.3404  |      32.148 |       82.9787  |  8.028 |  21.2766  | 51.3298 |
