| Company                                     | Symbol   | Google Symbol   | Yahoo Symbol   | Currency   |    Market Cap |   Market Cap (USD) |       P/E |     P/E PC |   P/E INV-PC |         P/S |     P/S PC |   P/S INV-PC |   EV/EBITDA |   EV/EBITDA PC |   EV/R |    EV/R PC |   EV/R INV-PC |   Score for Long |   Score for Short |
|:--------------------------------------------|:---------|:----------------|:---------------|:-----------|--------------:|-------------------:|----------:|-----------:|-------------:|------------:|-----------:|-------------:|------------:|---------------:|-------:|-----------:|--------------:|-----------------:|------------------:|
| 3M Company                                  | MMM      | FRA:MMM         | MMM.F          | EUR        |   88588066816 |        1.02521e+11 |  17.5077  |  18.0328   |    82.2951   |  2.55047    |  44.918    |    55.4098   |      10.146 |      17.0492   |  2.943 |  40.6557   |     60.3279   |          37.7049 |          55.9563  |
| A. O. Smith Corporation                     | AOS      | NYSE:AOS        | AOS            | USD        |   10306088960 |        1.03061e+10 |  26.7514  |  42.623    |    57.7049   |  3.40427    |  54.0984   |    46.2295   |      18.999 |      65.2459   |  3.622 |  48.1967   |     52.7869   |          51.7213 |          53.3333  |
| AMETEK Inc.                                 | AME      | NYSE:AME        | AME            | USD        |   29139671040 |        2.91397e+10 |  36.1472  |  63.2787   |    37.0492   |  5.91311    |  74.4262   |    25.9016   |      23.748 |      77.377    |  7.022 |  78.0328   |     22.9508   |          47.377  |          63.1694  |
| ANSYS Inc.                                  | ANSS     | NASDAQ:ANSS     | ANSS           | USD        |   30125694976 |        3.01257e+10 |  65.7542  |  88.8525   |    11.4754   | 17.3182     |  96.0656   |     4.2623   |      48.331 |      94.0984   | 16.951 |  96.0656   |      4.91803  |          48.0328 |          67.8689  |
| ASML Holding N.V.                           | ASML     | NASDAQ:ASML     | ASML           | USD        |  304167682048 |        3.04168e+11 |  56.9189  |  83.6066   |    16.7213   | 18.3274     |  97.0492   |     3.27869  |      50.551 |      95.4098   | 17.986 |  96.7213   |      4.2623   |          46.6393 |          70.1639  |
| AVEVA Group plc                             | AVV      | LON:AVV         | AVV.L          | GBp        |   10474692608 |        1.42625e+10 | 307.788   |  98.0328   |     2.29508  | 12.7678     |  91.8033   |     8.52459  |      79.895 |      98.3607   | 15.143 |  94.0984   |      6.88525  |          52.9508 |          62.7322  |
| Accenture PLC                               | ACN      | NYSE:ACN        | ACN            | USD        |  206706049024 |        2.06706e+11 |  38.484   |  66.8852   |    33.4426   |  4.31092    |  63.2787   |    37.0492   |      25.825 |      80.9836   |  4.326 |  53.4426   |     47.541    |          58.1148 |          50.0546  |
| Activision Blizzard Inc.                    | ATVI     | NASDAQ:ATVI     | ATVI           | USD        |   60357922816 |        6.03579e+10 |  23.2993  |  36.7213   |    63.6066   |  6.75296    |  78.3607   |    21.9672   |      16.043 |      50.4918   |  6.08  |  72.1311   |     28.8525   |          34.5082 |          71.3661  |
| Adobe Inc.                                  | ADBE     | NASDAQ:ADBE     | ADBE           | USD        |  274469978112 |        2.7447e+11  |  47.6901  |  78.3607   |    21.9672   | 18.178      |  96.7213   |     3.60656  |      44.731 |      92.7869   | 18.08  |  97.0492   |      3.93443  |          44.6721 |          71.9126  |
| Advance Auto Parts Inc.                     | AAP      | NYSE:AAP        | AAP            | USD        |   14013740032 |        1.40137e+10 |  23.0046  |  35.7377   |    64.5902   |  1.30496    |  20        |    80.3279   |      12.984 |      34.7541   |  1.499 |  17.0492   |     83.9344   |          58.6885 |          33.8798  |
| Advanced Micro Devices Inc.                 | AMD      | FRA:AMD         | AMD.F          | EUR        |  110809825280 |        1.28237e+11 |  45.7143  |  76.3934   |    23.9344   |  9.70144    |  86.8852   |    13.4426   |      37.545 |      90.1639   |  7.258 |  79.6721   |     21.3115   |          50.3279 |          63.4973  |
| Air Products and Chemicals Inc.             | APD      | NYSE:APD        | APD            | USD        |   60193681408 |        6.01937e+10 |  31.2786  |  55.7377   |    44.5902   |  6.14096    |  76.0656   |    24.2623   |      17.315 |      59.3443   |  6.342 |  73.4426   |     27.541    |          41.7213 |          64.6995  |
| Akamai Technologies Inc.                    | AKAM     | NASDAQ:AKAM     | AKAM           | USD        |   16683744256 |        1.66837e+10 |  30.3234  |  52.7869   |    47.541    |  5.00313    |  68.1967   |    32.1311   |      18.266 |      61.6393   |  5.979 |  70.8197   |     30.1639   |          44.1803 |          62.1858  |
| Albemarle Corporation                       | ALB      | NYSE:ALB        | ALB            | USD        |   25102233600 |        2.51022e+10 |  64.1779  |  87.541    |    12.7869   |  7.79729    |  82.623    |    17.7049   |      27.108 |      83.6066   |  6.919 |  76.3934   |     24.5902   |          53.3607 |          57.2678  |
| Allegion PLC                                | ALLE     | NYSE:ALLE       | ALLE           | USD        |   11827620864 |        1.18276e+10 |  28.7574  |  48.8525   |    51.4754   |  4.08285    |  60        |    40.3279   |      19.59  |      66.2295   |  4.739 |  60        |     40.9836   |          49.0984 |          57.1585  |
| Alliant Energy Corporation                  | LNT      | NASDAQ:LNT      | LNT            | USD        |   13997554688 |        1.39976e+10 |  22.8222  |  35.4098   |    64.918    |  4.11572    |  60.9836   |    39.3443   |      16.412 |      55.082    |  6.558 |  74.7541   |     26.2295   |          39.0164 |          66.8852  |
| Alphabet Inc.                               | GOOGL    | NASDAQ:GOOGL    | GOOGL          | USD        | 1865784229888 |        1.86578e+12 |  30.3265  |  53.1148   |    47.2131   |  8.47063    |  84.2623   |    16.0656   |      23.246 |      76.3934   |  7.974 |  81.9672   |     19.0164   |          41.1475 |          71.1475  |
| Altria Group Inc.                           | MO       | NYSE:MO         | MO             | USD        |   86885089280 |        8.68851e+10 |  20.0472  |  26.2295   |    74.0984   |  4.09314    |  60.3279   |    40        |       9.488 |      14.4262   |  5.467 |  65.9016   |     35.082    |          28.9344 |          66.776   |
| Amazon.com Inc.                             | AMZN     | NASDAQ:AMZN     | AMZN           | USD        | 1665492058112 |        1.66549e+12 |  57.298   |  83.9344   |    16.3934   |  3.75705    |  57.0492   |    43.2787   |      28.638 |      85.9016   |  3.832 |  49.8361   |     51.1475   |          66.0656 |          41.0929  |
| Amcor plc                                   | AMCR     | NYSE:AMCR       | AMCR           | USD        |   18054361088 |        1.80544e+10 |  37.4121  |  64.918    |    35.4098   |  1.43865    |  23.2787   |    77.0492   |      12.381 |      31.4754   |  1.941 |  24.2623   |     76.7213   |          62.541  |          27.6503  |
| Ameren Corporation                          | AEE      | NYSE:AEE        | AEE            | USD        |   20991123456 |        2.09911e+10 |  21.5139  |  31.1475   |    69.1803   |  3.66018    |  56.7213   |    43.6066   |      13.759 |      40        |  6.086 |  72.459    |     28.5246   |          35.8197 |          66.1202  |
| American Electric Power Company Inc.        | AEP      | FRA:AEP         | AEP.F          | EUR        |   35980693504 |        4.16395e+10 |  19.1269  |  22.9508   |    77.377    |  2.27948    |  40.6557   |    59.6721   |      12.77  |      33.1148   |  4.752 |  60.3279   |     40.6557   |          39.0984 |          59.4536  |
| American Water Works Company Inc.           | AWK      | NYSE:AWK        | AWK            | USD        |   31660607488 |        3.16606e+10 |  43.1607  |  73.7705   |    26.5574   |  8.14107    |  83.9344   |    16.3934   |      22.722 |      74.7541   | 11.335 |  89.5082   |     11.4754   |          44.0984 |          66.6667  |
| Amphenol Corporation                        | APH      | NYSE:APH        | APH            | USD        |   45263433728 |        4.52634e+10 |  36.3261  |  63.6066   |    36.7213   |  4.96636    |  67.8689   |    32.459    |      20.408 |      69.5082   |  4.711 |  59.0164   |     41.9672   |          51.8852 |          54.5355  |
| Analog Devices Inc.                         | ADI      | NASDAQ:ADI      | ADI            | USD        |   90618241024 |        9.06182e+10 |  36.8972  |  64.5902   |    35.7377   | 13.9305     |  93.1148   |     7.21311  |      22.519 |      74.4262   | 10.137 |  86.8852   |     14.0984   |          40.082  |          71.9126  |
| Apple Inc.                                  | AAPL     | NASDAQ:AAPL     | AAPL           | USD        | 2362165428224 |        2.36217e+12 |  27.9757  |  47.2131   |    53.1148   |  6.80435    |  78.6885   |    21.6393   |      21.958 |      72.7869   |  7.017 |  77.7049   |     23.2787   |          41.2295 |          69.8361  |
